"NAME","MEETINGNAME__C","MEETINGNO__C","TT_TIMESTAMPBYL__C","TT_NAMEFORTICKET__C","TT_STARTDATE__C","TT_ENDDATE__C","TT_CANCEL__C","TT_ITEMNAME__C","TT_INTERNALORDERTAXABLE__C","TT_INTERNALORDERNONTAXABLE__C","TT_ACCOUNTCODETAXABLE__C","TT_ACCOUNTCODENONTAXABLE__C","TT_ZETIACODE__C","TT_NUMBEROFINVITEDMEMBEREMPEXCEPT__C","TT_NUMBEROFINVITEDMEMBEREMP__C","TT_SRM_ORDERCLASSIFICATION__C","TT_PLANPERSONBU_NAMEEN__C","TT_PLANPERSONAREANAME__C","TT_PLANPERSONFS_NAME__C","TT_PLANPERSONNAMEKANJI__C","TT_PLANPERSONNAME__C","TT_PLANPERSONEMAIL__C","TT_PLANPERSONMOBILEMAIL__C","TT_PLANPERSONMOBILE__C","TT_PLANPERSONPHONE__C","TT_COSTCENTER__C","TT_ARRANGEPERSONBU_NAMEEN__C","TT_ARRANGEPERSONAREANAME__C","TT_ARRANGEPERSONFS_NAME__C","TT_ARRANGEPERSONNAMEKANJI__C","TT_ARRANGEPERSONNAME__C","TT_ARRANGEPERSONPHONE__C","TT_ARRANGEPERSONEMAIL__C","TT_ARRANGEPERSONMOBILE__C","TT_ARRANGEPERSONMOBILEMAIL__C","TT_BUDGETTAXABLETOTAL__C","TT_BUDGETNONTAXABLETOTAL__C","TT_BUDGETTAXABLEPARTY__C","TT_BUDGETTAXABLEDISCUSSION__C","TT_MEETINGPLACENAME__C","TT_STATUSREQUEST__C","TT_LASTMODIFIEDDATE__C","INVALID__C"
"0417ＭＲＮ説明会木下産婦人科","","MTG14-00000753","20140327020816","","20140417","20140417","0","ミレーナ","","GDYA00201700","6831200","6844000","","14.0","0.0","0","WHD","東京","東京","加藤 聡美","Kato Satomi","satomi.kato@bayer.com","byl.0838.5324@docomo.ne.jp","+81-80-8529-8107","","YA006W4500","WHD","東京","東京","加藤 聡美","Kato Satomi","","satomi.kato@bayer.com","+81-80-8529-8107","byl.0838.5324@docomo.ne.jp","0.0","35000.0","0.0","0.0","","0.0","2014-03-27T02:08:16.000Z","false"
"0418ＹＡＺ説明会両国キッズクリニック","","MTG14-00000754","20140327020849","","20140418","20140418","0","ヤーズ","","GDYA00201600","6831200","6844000","","5.0","0.0","0","WHD","東京","東京","加藤 聡美","Kato Satomi","satomi.kato@bayer.com","byl.0838.5324@docomo.ne.jp","+81-80-8529-8107","","YA006W4500","WHD","東京","東京","加藤 聡美","Kato Satomi","","satomi.kato@bayer.com","+81-80-8529-8107","byl.0838.5324@docomo.ne.jp","0.0","11000.0","0.0","0.0","","0.0","2014-03-27T02:08:49.000Z","false"
"WDMK_0402_鈴木_今井WC","","MTG14-00000755","20140328033629","","20140402","20140402","0","ヤーズ","","GDYA00201600","6831200","6844000","","7.0","0.0","0","WHD","南関東","南関東","鈴木 葵","Suzuki Aoi","aoi.suzuki@bayer.com","byl.0802.2353@docomo.ne.jp","+81-80-2548-0856","","YA006W4500","WHD","南関東","南関東","鈴木 葵","Suzuki Aoi","","aoi.suzuki@bayer.com","+81-80-2548-0856","byl.0802.2353@docomo.ne.jp","0.0","21000.0","0.0","0.0","","0.0","2014-03-28T03:36:29.000Z","false"
"WDMK_0328_鈴木_横須賀共済HP","","MTG14-00000756","20140328144842","","20140328","20140328","0","ネリゾナ","","GDYA16000001","6831200","6844000","","5.0","0.0","0","WHD","南関東","南関東","鈴木 葵","Suzuki Aoi","aoi.suzuki@bayer.com","byl.0802.2353@docomo.ne.jp","+81-80-2548-0856","","YA006W4500","WHD","南関東","南関東","鈴木 葵","Suzuki Aoi","","aoi.suzuki@bayer.com","+81-80-2548-0856","byl.0802.2353@docomo.ne.jp","0.0","15000.0","0.0","0.0","","0.0","2014-03-28T14:48:42.000Z","false"
"社保滋賀外科説明会","","MTG14-00000757","20140327040643","","20140314","20140314","0","スチバーガ","","GDYA00201350","6831200","6844000","","8.0","0.0","0","ONH","西日本","京滋北陸","渡邉 孝彦","Watanabe Takahiko","takahiko.watanabe@bayer.com","byl.0703.9023@docomo.ne.jp","+81-80-2446-0379","","YA00680000","ONH","西日本","京滋北陸","渡邉 孝彦","Watanabe Takahiko","","takahiko.watanabe@bayer.com","+81-80-2446-0379","byl.0703.9023@docomo.ne.jp","0.0","23580.0","0.0","0.0","","0.0","2014-03-27T04:06:43.000Z","false"
"大津日赤外科説明会","","MTG14-00000758","20140327035849","","20140324","20140324","0","スチバーガ","","GDYA00201350","6831200","6844000","","20.0","0.0","0","ONH","西日本","京滋北陸","渡邉 孝彦","Watanabe Takahiko","takahiko.watanabe@bayer.com","byl.0703.9023@docomo.ne.jp","+81-80-2446-0379","","YA00680000","ONH","西日本","京滋北陸","渡邉 孝彦","Watanabe Takahiko","","takahiko.watanabe@bayer.com","+81-80-2446-0379","byl.0703.9023@docomo.ne.jp","0.0","52400.0","0.0","0.0","","0.0","2014-03-27T03:58:49.000Z","false"
"2014 4 10 倉敷成人病　薬剤部　ＹＡＺ　ＶＴＥ","","MTG14-00000759","20140326003922","","20140410","20140410","0","ヤーズ","","GDYA00201600","6831200","6844000","","5.0","0.0","0","WHD","中四国","中四国","村山 健司","Murayama Kenji","kenji.murayama@bayer.com","byl.0629.8998@docomo.ne.jp","81(90)1581-3326","","YA006W4500","WHD","中四国","中四国","村山 健司","Murayama Kenji","","kenji.murayama@bayer.com","81(90)1581-3326","byl.0629.8998@docomo.ne.jp","0.0","5000.0","0.0","0.0","","0.0","2014-03-26T00:39:22.000Z","false"
"NEX最新情報","","MTG14-00000760","20140326000226","","20140618","20140618","0","ネクサバール","","GDYA00201200","6831200","6844000","","12.0","0.0","0","ONH","東日本","神奈川","今井 一行","Imai Kazuyuki","kazuyuki.imai@bayer.com","byl.0619.4475@docomo.ne.jp","81(80)2405-1553","","YA00680000","ONH","東日本","神奈川","今井 一行","Imai Kazuyuki","","kazuyuki.imai@bayer.com","81(80)2405-1553","byl.0619.4475@docomo.ne.jp","0.0","36000.0","0.0","0.0","","0.0","2014-03-26T00:02:26.000Z","false"
"0512　ＭＲＮ勉強会　関根ウィメンズクリニック","","MTG14-00000761","20140328051249","","20140515","20140515","0","ミレーナ","","GDYA00201700","6831200","6844000","","15.0","0.0","0","WHD","東京","東京","相川 麻実","Aikawa Asami","asami.aikawa@bayer.com","byl.0863.2585@docomo.ne.jp","+81-80-8337-9435","","YA006W4500","WHD","東京","東京","相川 麻実","Aikawa Asami","","asami.aikawa@bayer.com","+81-80-8337-9435","byl.0863.2585@docomo.ne.jp","0.0","39000.0","0.0","0.0","","0.0","2014-03-28T05:12:49.000Z","false"
"0401MRN製品説明会山岡産婦人科","","MTG14-00000762","20140326004603","","20140401","20140401","0","ミレーナ","","GDYA00201700","6831200","6844000","","11.0","0.0","0","WHD","中四国","中四国","渡邊 英二","Watanabe Eiji","eiji.watanabe@bayer.com","byl.0629.7533@docomo.ne.jp","81(90)1581-3485","81(82)511-0666","YA006W4500","WHD","中四国","中四国","渡邊 英二","Watanabe Eiji","81(82)511-0666","eiji.watanabe@bayer.com","81(90)1581-3485","byl.0629.7533@docomo.ne.jp","0.0","33000.0","0.0","0.0","","0.0","2014-03-26T00:46:03.000Z","false"
"高倉眼科CRVO説明会","高倉眼科CRVO説明会","MTG14-00000763","20140401022255","","20140327","20140327","0","アイリーア","","GDYA00200550","6831200","6844000","","20.0","0.0","0","OPH","西日本","西日本","寺崎 修二","Terasaki Shuji","shuji.terasaki@bayer.com","byl.0797.2722@docomo.ne.jp","+81-90-1891-7597","","YA006S3061","OPH","西日本","西日本","寺崎 修二","Terasaki Shuji","","shuji.terasaki@bayer.com","+81-90-1891-7597","byl.0797.2722@docomo.ne.jp","0.0","42000.0","0.0","0.0","","0.0","2014-04-01T02:22:55.000Z","false"
"住友別子病院薬剤部トリキュラー説明会20140407","","MTG14-00000764","20140326012653","","20140407","20140407","0","トリキュラー","","GDYA00201500","6831200","6844000","","23.0","0.0","0","WHD","中四国","中四国","岸 健治","Kishi Kenji","kenji.kishi@bayer.com","byl.0673.6545@docomo.ne.jp","81(90)3485-4906","","YA006W4500","WHD","中四国","中四国","岸 健治","Kishi Kenji","","kenji.kishi@bayer.com","81(90)3485-4906","byl.0673.6545@docomo.ne.jp","0.0","50600.0","0.0","0.0","","0.0","2014-03-26T01:26:53.000Z","false"
"大賀薬局浜の町店_調剤薬局_コージネイト_製品説明_20140404","","MTG14-00000765","20140326024830","","20140404","20140404","0","コージネイトＦＳＢＳ","","GDYA00100520","6831200","6844000","","6.0","0.0","0","ONH","西日本","九州第１","町田 歩美","Machida Ayumi","ayumi.machida@bayer.com","byl.0838.8706@docomo.ne.jp","+81-80-8539-9379","","YA00680000","ONH","西日本","九州第１","町田 歩美","Machida Ayumi","","ayumi.machida@bayer.com","+81-80-8539-9379","byl.0838.8706@docomo.ne.jp","0.0","6000.0","0.0","0.0","","0.0","2014-03-26T02:48:30.000Z","false"
"JDDW2014 ネクサバール　EOBプリモビスト","JDDW2014","MTG14-00000766","20140526053818","","20141023","20141023","0","ネクサバール","G3YA00201200","GDYA00201200","6831200","6844000","","300.0","0.0","1","ONH","ＯＮＨ","ＯＮＨ","斎藤 ゆみ","Saito Yumi","yumi.saito@bayer.com.fullsand","yumi.saito@bayer.com","81(90)6968-5457","81(3)6266-7134","YA00681200","BSP","ＢＳＰ","ＢＳＰ","神農 真依","Shinno Mai","81(6)6133-7377","mai.shinno@bayer.com.fullsand","81(90)5052-2017","byl.0689.0927@docomo.ne.jp","0.0","4000000.0","0.0","0.0","神戸ポートピアホテル本館","1.0","2014-05-26T05:38:18.000Z","false"
"NEX WebカンファレンスTYC","NEX WebカンファレンスTYC","MTG14-00000767","20140326013441","NEX Webカンフ","20140702","20140702","0","ネクサバール","G3YA00201200","GDYA00201200","6831200","6844000","","300.0","0.0","0","ONH","ＯＮＨ","ＯＮＨ","末延 成彦","Suenobu Narihiko","narihiko.suenobu@bayer.com","narihiko.suenobu@bayer.com","81(90)5052-2045","81(3)6266-7754","YA00681200","","","","","","","","","","0.0","2500000.0","0.0","0.0","","0.0","2014-03-26T01:34:41.000Z","false"
"0327MRN説明会泉医院","","MTG14-00000768","20140401181421","","20140327","20140327","0","ミレーナ","","GDYA00201700","6831200","6844000","","8.0","0.0","0","WHD","東京","東京","宮城 正樹","Miyagi Masaki","masaki.miyagi@bayer.com","byl.0630.3282@docomo.ne.jp","81(90)5095-7431","","YA006W4500","WHD","東京","東京","宮城 正樹","Miyagi Masaki","","masaki.miyagi@bayer.com","81(90)5095-7431","byl.0630.3282@docomo.ne.jp","0.0","21000.0","0.0","0.0","","0.0","2014-04-01T18:14:21.000Z","false"
"第10回肝がん分子標的治療研究会　共催シンポジウム","第10回肝がん分子標的治療研究会第10回肝がん分子標的治療研究会　共催シンポジウム","MTG14-00000769","20140401072112","","20140621","20140621","0","ネクサバール","G3YA00201200","GDYA00201200","6831200","6844000","","300.0","0.0","0","ONH","ＯＮＨ","ＯＮＨ","斎藤 ゆみ","Saito Yumi","yumi.saito@bayer.com","yumi.saito@bayer.com","81(90)6968-5457","81(3)6266-7134","YA00681200","BSP","ＢＳＰ","ＢＳＰ","神農 真依","Shinno Mai","81(6)6133-7377","mai.shinno@bayer.com","81(90)5052-2017","byl.0689.0927@docomo.ne.jp","0.0","3700000.0","0.0","0.0","兵庫県立淡路夢舞台国際会議場","1.0","2014-04-01T07:21:12.000Z","false"
"MRNの臨床特長と患者満足度について","","MTG14-00000770","20140326015935","","20140417","20140417","0","ミレーナ","","GDYA00201700","6831200","6844000","","20.0","0.0","0","WHD","東海","東海","菅田 好則","Sugata Yoshinori","yoshinori.sugata@bayer.com","byl.0629.6456@docomo.ne.jp","81(90)1581-3383","","YA006W4500","WHD","東海","東海","菅田 好則","Sugata Yoshinori","","yoshinori.sugata@bayer.com","81(90)1581-3383","byl.0629.6456@docomo.ne.jp","0.0","50000.0","0.0","0.0","","0.0","2014-03-26T01:59:35.000Z","false"
"東北大学病院EYL（CRVO）説明会","東北大学病院EYL（CRVO）説明会","MTG14-00000771","20140330110931","","20140326","20140326","0","アイリーア","","GDYA00200550","6831200","6844000","","50.0","0.0","0","OPH","東日本","東日本","東海林 史雄","Tokairin Fumio","fumio.tokairin@bayer.com","byl.0797.2633@docomo.ne.jp","+81-90-1891-7072","","YA006S4000","OPH","東日本","東日本","東海林 史雄","Tokairin Fumio","","fumio.tokairin@bayer.com","+81-90-1891-7072","byl.0797.2633@docomo.ne.jp","0.0","125000.0","0.0","0.0","","0.0","2014-03-30T11:09:31.000Z","false"
"ミレーナ説明会","","MTG14-00000772","20140331064302","","20140327","20140327","0","ミレーナ","","GDYA00201700","6831200","6844000","","15.0","0.0","0","WHD","関西","関西","角江 知之","Sumie Tomoyuki","tomoyuki.sumie@bayer.com","byl.0766.5366@docomo.ne.jp","81(80)2453-3789","","YA006W4500","WHD","関西","関西","角江 知之","Sumie Tomoyuki","","tomoyuki.sumie@bayer.com","81(80)2453-3789","byl.0766.5366@docomo.ne.jp","0.0","45000.0","0.0","0.0","","0.0","2014-03-31T06:43:02.000Z","false"
"ヤーズ説明会","","MTG14-00000773","20140328074450","","20140404","20140404","0","ヤーズ","","GDYA00201600","6831200","6844000","","16.0","0.0","0","WHD","関西","関西","角江 知之","Sumie Tomoyuki","tomoyuki.sumie@bayer.com","byl.0766.5366@docomo.ne.jp","81(80)2453-3789","","YA006W4500","WHD","関西","関西","角江 知之","Sumie Tomoyuki","","tomoyuki.sumie@bayer.com","81(80)2453-3789","byl.0766.5366@docomo.ne.jp","0.0","48000.0","0.0","0.0","","0.0","2014-03-28T07:44:50.000Z","false"
"ネクサバール　外来講師","ネクサバール外来講師　名取Dr　肝臓外科医","MTG14-00000774","20140417072621","ネクサバール　外来講","20140423","20140423","0","ＨＣＣ","G3YA00201300","GDYA00201300","6831200","6701000","","0.0","2.0","0","ONH","東日本","南関東","高蔵 加奈","Takakura Kana","kana.takakura@bayer.com.fullsand","byl.0839.5656@docomo.ne.jp","+81-80-1400-0918","","YA00680000","ONH","東日本","南関東","高蔵 加奈","Takakura Kana","","kana.takakura@bayer.com.fullsand","+81-80-1400-0918","byl.0839.5656@docomo.ne.jp","45000.0","25000.0","45000.0","0.0","ルノアール　八重洲北口店　会議室","0.0","2014-04-17T07:26:21.000Z","false"
"スチバーガ製品説明会","","MTG14-00000775","20140401005415","","20140324","20140324","0","スチバーガ","","GDYA00201350","6831200","6844000","","4.0","0.0","0","ONH","西日本","九州第１","石田 佳丈","Ishida Yoshitake","yoshitake.ishida@bayer.com","byl.0857.1543@docomo.ne.jp","+81-80-8334-9976","","YA00680000","ONH","西日本","九州第１","石田 佳丈","Ishida Yoshitake","","yoshitake.ishida@bayer.com","+81-80-8334-9976","byl.0857.1543@docomo.ne.jp","0.0","8600.0","0.0","0.0","","0.0","2014-04-01T00:54:15.000Z","false"
"R&I_MRI_第50回日本肝癌研究会EOBランチョンセミナー","第50回日本肝癌研究会EOBランチョンセミナー","MTG14-00000776","20140326085729","肝癌研究会EOB","20140605","20140605","0","プリモビスト","G3YA65200300","GDYA65200300","6831200","6844000","","200.0","0.0","0","R&I","Ｒ＆Ｉ","Ｒ＆Ｉ","和田 真典","Wada Masanori","masanori.wada@bayer.com","masanori.wada@bayer.com","81(80)2441-5253","81(6)6133-7347","YA006D3005","R&I","Ｒ＆Ｉ","Ｒ＆Ｉ","和田 真典","Wada Masanori","81(6)6133-7347","masanori.wada@bayer.com","81(80)2441-5253","masanori.wada@bayer.com","0.0","2500000.0","0.0","0.0","","1.0","2014-03-26T08:57:29.000Z","false"
"スチバーガ　説明会","","MTG14-00000777","20140326065925","","20140319","20140319","0","スチバーガ","","GDYA00201350","6831200","6844000","","10.0","0.0","0","ONH","東日本","南関東","伊佐 昭洋","Isa Akihiro","akihiro.isa@bayer.com","byl.0788.2782@docomo.ne.jp","+81-90-6974-7591","","YA00680000","ONH","東日本","南関東","伊佐 昭洋","Isa Akihiro","","akihiro.isa@bayer.com","+81-90-6974-7591","byl.0788.2782@docomo.ne.jp","0.0","30000.0","0.0","0.0","","0.0","2014-03-26T06:59:25.000Z","false"
"スチバーガ　外科　説明会","","MTG14-00000778","20140326065857","","20140319","20140319","0","スチバーガ","","GDYA00201350","6831200","6844000","","10.0","0.0","0","ONH","東日本","南関東","伊佐 昭洋","Isa Akihiro","akihiro.isa@bayer.com","byl.0788.2782@docomo.ne.jp","+81-90-6974-7591","","YA00680000","ONH","東日本","南関東","伊佐 昭洋","Isa Akihiro","","akihiro.isa@bayer.com","+81-90-6974-7591","byl.0788.2782@docomo.ne.jp","0.0","30000.0","0.0","0.0","","0.0","2014-03-26T06:58:57.000Z","false"
"スチバーガ　説明会","","MTG14-00000779","20140327061906","","20140418","20140418","0","スチバーガ","","GDYA00201350","6831200","6844000","","45.0","0.0","0","ONH","東日本","南関東","伊佐 昭洋","Isa Akihiro","akihiro.isa@bayer.com","byl.0788.2782@docomo.ne.jp","+81-90-6974-7591","","YA00680000","ONH","東日本","南関東","伊佐 昭洋","Isa Akihiro","","akihiro.isa@bayer.com","+81-90-6974-7591","byl.0788.2782@docomo.ne.jp","0.0","112500.0","0.0","0.0","","0.0","2014-03-27T06:19:06.000Z","false"
"KN村山仙台市立病院","","MTG14-00000780","20140331022007","","20140326","20140326","0","ヤーズ","","GDYA00201600","6831200","6844000","","20.0","0.0","0","WHD","北日本","北日本","村山 弘治","Murayama Koji","koji.murayama@bayer.com","byl.0766.2510@docomo.ne.jp","81(80)2431-0948","","YA006W4500","WHD","北日本","北日本","村山 弘治","Murayama Koji","","koji.murayama@bayer.com","81(80)2431-0948","byl.0766.2510@docomo.ne.jp","0.0","0.0","0.0","0.0","","0.0","2014-03-31T02:20:07.000Z","false"
"第56回和歌山産婦人科医会総会・学術集会","第56回和歌山産婦人科医会総会・学術集会","MTG14-00000782","20140327003311","第56回和歌山産婦人","20140601","20140601","0","ヤーズ","G3YA00201600","GDYA00201600","6831200","6844000","","80.0","0.0","0","WHD","関西","関西","和田 章","Wada Akira","akira.wada@bayer.com","byl.0629.6928@docomo.ne.jp","81(90)1581-3207","","YA006W4500","WHD","関西","関西","和田 章","Wada Akira","","akira.wada@bayer.com","81(90)1581-3207","byl.0629.6928@docomo.ne.jp","275000.0","50000.0","0.0","275000.0","和歌山県民文化会館","1.0","2014-03-27T00:33:11.000Z","false"
"- A Better Life Initiative - The 1st Town Hall Meeting @BHO","「A Better Life イニシアティブ２０１４＝初めの一歩＝」 Town Hall Meeting","MTG14-00000781","20140401054414","","20140417","20140417","0","スチバーガ","G3YA00201350","GDYA00201350","6831200","","","0.0","0.0","0","","","","来島 一男","Kijima Kazuo","kazuo.kijima@bayer.com","","81(80)8321-0096","81(3)6266-7950","YA00625000","","","","石井 敏恵","Ishii Toshie","81(6)6133-7223","toshie.ishii@bayer.com","","","100000.0","0.0","0.0","0.0","","0.0","2014-04-01T05:44:14.000Z","true"
"140326 日医永山　泌尿器科医局　NEX-RCC　SWITCH","","MTG14-00000783","20140328025041","","20140326","20140326","0","ネクサバール","","GDYA00201200","6831200","6844000","","10.0","0.0","0","ONH","東日本","東京第２","山崎 勇貴","Yamazaki Yuki","yuki.yamazaki@bayer.com","byl.0839.2347@docomo.ne.jp","+81-80-8539-9380","","YA00680000","ONH","東日本","東京第２","山崎 勇貴","Yamazaki Yuki","","yuki.yamazaki@bayer.com","+81-80-8539-9380","byl.0839.2347@docomo.ne.jp","0.0","25000.0","0.0","0.0","","0.0","2014-03-28T02:50:41.000Z","false"
"千葉健一　真栄病院　2014/3/31","","MTG14-00000784","20140401115722","","20140331","20140331","0","ブリーズ２","","GDYA65000939","6831200","6844000","","5.0","0.0","0","CEB","ＤＭ","東日本","千葉 健一","Chiba Kenichi","kenichi.chiba@bayer.com","byl.0850.1545@docomo.ne.jp","+81-80-2519-6374","","YA656333B0","CEB","ＤＭ","東日本","千葉 健一","Chiba Kenichi","","kenichi.chiba@bayer.com","+81-80-2519-6374","byl.0850.1545@docomo.ne.jp","0.0","0.0","0.0","0.0","","0.0","2014-04-01T11:57:22.000Z","false"
"千葉健一　ゆう(老健）医療　2014/3/28","","MTG14-00000785","20140330233409","","20140328","20140328","0","ブリーズ２","","GDYA65000939","6831200","6844000","","6.0","0.0","0","CEB","ＤＭ","東日本","千葉 健一","Chiba Kenichi","kenichi.chiba@bayer.com","byl.0850.1545@docomo.ne.jp","+81-80-2519-6374","","YA656333B0","CEB","ＤＭ","東日本","千葉 健一","Chiba Kenichi","","kenichi.chiba@bayer.com","+81-80-2519-6374","byl.0850.1545@docomo.ne.jp","0.0","0.0","0.0","0.0","","0.0","2014-03-30T23:34:09.000Z","false"
"千葉健一　うめつ内科糖尿病・内分泌CL　2014/4/4","","MTG14-00000786","20140401040302","","20140404","20140404","0","ブリーズ２","","GDYA65000939","6831200","6844000","","5.0","0.0","0","CEB","ＤＭ","東日本","千葉 健一","Chiba Kenichi","kenichi.chiba@bayer.com","byl.0850.1545@docomo.ne.jp","+81-80-2519-6374","","YA656333B0","CEB","ＤＭ","東日本","千葉 健一","Chiba Kenichi","","kenichi.chiba@bayer.com","+81-80-2519-6374","byl.0850.1545@docomo.ne.jp","0.0","9930.0","0.0","0.0","","0.0","2014-04-01T04:03:02.000Z","false"
"KN下屋敷県立中部病院","","MTG14-00000787","20140327012642","","20140328","20140328","0","ミレーナ","","GDYA00201700","6831200","6844000","","0.0","0.0","0","WHD","北日本","北日本","下屋敷 亮洋","Shimoyashiki Yoshihiro","yoshihiro.shimoyashiki@bayer.com","byl.0830.7323@docomo.ne.jp","+81-80-8300-2827","","YA006W4500","WHD","北日本","北日本","下屋敷 亮洋","Shimoyashiki Yoshihiro","","yoshihiro.shimoyashiki@bayer.com","+81-80-8300-2827","byl.0830.7323@docomo.ne.jp","0.0","0.0","0.0","0.0","","0.0","2014-03-27T01:26:42.000Z","false"
"RCC最新情報","","MTG14-00000788","20140327030113","","20140507","20140507","0","ネクサバール","","GDYA00201200","6831200","6844000","","9.0","0.0","0","ONH","西日本","九州第１","石田 佳丈","Ishida Yoshitake","yoshitake.ishida@bayer.com","byl.0857.1543@docomo.ne.jp","+81-80-8334-9976","","YA00680000","ONH","西日本","九州第１","石田 佳丈","Ishida Yoshitake","","yoshitake.ishida@bayer.com","+81-80-8334-9976","byl.0857.1543@docomo.ne.jp","0.0","18000.0","0.0","0.0","","0.0","2014-03-27T03:01:13.000Z","false"
"0410　ＹＡＺ勉強会　サン薬局","","MTG14-00000789","20140327024938","","20140410","20140410","0","ヤーズ","","GDYA00201600","6831200","6844000","","10.0","0.0","0","WHD","東京","東京","相川 麻実","Aikawa Asami","asami.aikawa@bayer.com","byl.0863.2585@docomo.ne.jp","+81-80-8337-9435","","YA006W4500","WHD","東京","東京","相川 麻実","Aikawa Asami","","asami.aikawa@bayer.com","+81-80-8337-9435","byl.0863.2585@docomo.ne.jp","0.0","20000.0","0.0","0.0","","0.0","2014-03-27T02:49:38.000Z","false"
"0327YAZ説明会くすの木薬局矢口の渡店","","MTG14-00000790","20140401022651","","20140327","20140327","0","ヤーズ","","GDYA00201600","6831200","6844000","","5.0","0.0","0","WHD","東京","東京","伊藤 美貴子","Ito Mikiko","mikiko.ito@bayer.com","byl.0630.6346@docomo.ne.jp","81(90)2706-0640","","YA006W4500","WHD","東京","東京","伊藤 美貴子","Ito Mikiko","","mikiko.ito@bayer.com","81(90)2706-0640","byl.0630.6346@docomo.ne.jp","0.0","12000.0","0.0","0.0","","0.0","2014-04-01T02:26:51.000Z","false"
"スチバーガ安全性情報説明会","スチバーガ説明会","MTG14-00000791","20140327110756","","20140320","20140320","0","スチバーガ","","GDYA00201350","6831200","6844000","","18.0","0.0","0","ONH","東日本","東京第１","梅原 隆","Umehara Takashi","takashi.umehara@bayer.com","byl.0630.4211@docomo.ne.jp","81(90)2706-9793","","YA00680000","ONH","東日本","東京第１","梅原 隆","Umehara Takashi","","takashi.umehara@bayer.com","81(90)2706-9793","byl.0630.4211@docomo.ne.jp","0.0","37440.0","0.0","0.0","","0.0","2014-03-27T11:07:56.000Z","false"
"ミレーナ説明会","","MTG14-00000792","20140327042040","","20140416","20140416","0","ミレーナ","","GDYA00201700","6831200","6844000","","18.0","0.0","0","WHD","関西","関西","角江 知之","Sumie Tomoyuki","tomoyuki.sumie@bayer.com","byl.0766.5366@docomo.ne.jp","81(80)2453-3789","","YA006W4500","WHD","関西","関西","角江 知之","Sumie Tomoyuki","","tomoyuki.sumie@bayer.com","81(80)2453-3789","byl.0766.5366@docomo.ne.jp","0.0","54000.0","0.0","0.0","","0.0","2014-03-27T04:20:40.000Z","false"
"MRNの臨床特長と患者満足度について","","MTG14-00000793","20140327050311","","20140423","20140423","0","ミレーナ","","GDYA00201700","6831200","6844000","","8.0","0.0","0","WHD","東海","東海","菅田 好則","Sugata Yoshinori","yoshinori.sugata@bayer.com","byl.0629.6456@docomo.ne.jp","81(90)1581-3383","","YA006W4500","WHD","東海","東海","菅田 好則","Sugata Yoshinori","","yoshinori.sugata@bayer.com","81(90)1581-3383","byl.0629.6456@docomo.ne.jp","0.0","20000.0","0.0","0.0","","0.0","2014-03-27T05:03:11.000Z","false"
"ネクサバールHCC　外来講師","","MTG14-00000794","20140327064954","ONH南関東　外来講","20140423","20140423","0","ネクサバール","G3YA00201200","GDYA00201200","6831200","6701000","","0.0","2.0","0","ONH","東日本","南関東","齊藤 弘幸","Saito Hiroyuki","hiroyuki.saito@bayer.com","byl.0630.2294@docomo.ne.jp","81(90)5095-7434","81(3)6266-7932","YA00680000","ONH","東日本","南関東","齊藤 弘幸","Saito Hiroyuki","81(3)6266-7932","hiroyuki.saito@bayer.com","81(90)5095-7434","byl.0630.2294@docomo.ne.jp","45000.0","0.0","45000.0","0.0","ルノアール八重洲北口　貸会議室","0.0","2014-03-27T06:49:54.000Z","false"
"20140328平鹿HPアイリーア","20140328平鹿HPアイリーア","MTG14-00000795","20140401062355","","20140328","20140328","0","アイリーア","","GDYA00200550","6831200","6844000","","15.0","0.0","0","OPH","東日本","東日本","中川 彰二","Nakagawa Shoji","shoji.nakagawa@bayer.com","byl.0801.6655@docomo.ne.jp","+81-80-2502-0636","","YA006S4000","OPH","東日本","東日本","中川 彰二","Nakagawa Shoji","","shoji.nakagawa@bayer.com","+81-80-2502-0636","byl.0801.6655@docomo.ne.jp","0.0","45000.0","0.0","0.0","","0.0","2014-04-01T06:23:55.000Z","false"
"NEX-HCC説明会（諫早原爆病院）","","MTG14-00000796","20140327110821","","20140402","20140402","0","ネクサバール","","GDYA00201200","6831200","6844000","","10.0","0.0","0","ONH","西日本","九州第２","合庭 勇","Aiba Isamu","isamu.aiba@bayer.com","byl.0621.3704@docomo.ne.jp","81(80)2405-1558","","YA00680000","ONH","西日本","九州第２","合庭 勇","Aiba Isamu","","isamu.aiba@bayer.com","81(80)2405-1558","byl.0621.3704@docomo.ne.jp","0.0","22000.0","0.0","0.0","","0.0","2014-03-27T11:08:21.000Z","false"
"NEX-RCC説明会（佐世保総合病院）","","MTG14-00000797","20140327110648","","20140403","20140403","0","ネクサバール","","GDYA00201200","6831200","6844000","","7.0","0.0","0","ONH","西日本","九州第２","合庭 勇","Aiba Isamu","isamu.aiba@bayer.com","byl.0621.3704@docomo.ne.jp","81(80)2405-1558","","YA00680000","ONH","西日本","九州第２","合庭 勇","Aiba Isamu","","isamu.aiba@bayer.com","81(80)2405-1558","byl.0621.3704@docomo.ne.jp","0.0","18000.0","0.0","0.0","","0.0","2014-03-27T11:06:48.000Z","false"
